fips,election,cvap
9005,2012,144020
9007,2012,125270
9009,2012,621195
9011,2012,204080
9013,2012,116860
9015,2012,88940
10001,2012,118755
10003,2012,387550
10005,2012,149475
11001,2012,454205
12001,2012,190235
12003,2012,19865
12005,2012,128400
12007,2012,22430
12009,2012,420220
12011,2012,1134385
12013,2012,11235
12015,2012,131780
12017,2012,116390
12019,2012,136970
12021,2012,216800
12023,2012,51480
12027,2012,22225
12029,2012,12600
12031,2012,627145
12033,2012,227110
12035,2012,73645
12037,2012,9375
12039,2012,33865
12041,2012,12930
12043,2012,9160
12045,2012,12875
12047,2012,11370
12049,2012,15420
12051,2012,21645
12053,2012,134750
12055,2012,75215
12057,2012,849890
12059,2012,15610
12061,2012,104945
12063,2012,39155
12065,2012,11710
12067,2012,6165
12069,2012,226710
12071,2012,450195
12073,2012,213835
12075,2012,31120
12077,2012,6540
12079,2012,14650
12081,2012,235810
12083,2012,256790
12085,2012,112935
12086,2012,1391120
12087,2012,56090
12089,2012,56840
12091,2012,136990
12093,2012,26595
12095,2012,776770
12097,2012,175245
12099,2012,909105
12101,2012,350445
12103,2012,710410
12105,2012,427110
12107,2012,54905
12109,2012,143375
12111,2012,197150
12113,2012,113925
12115,2012,301585
12117,2012,306810
12119,2012,83265
12121,2012,31170
12123,2012,17875
12125,2012,12240
12127,2012,387095
12129,2012,23495
12131,2012,42855
12133,2012,19140
13001,2012,12810
13003,2012,5060
13005,2012,7830
13007,2012,2595
13009,2012,36415
13011,2012,13255
13013,2012,46960
13015,2012,70045
13017,2012,12615
13019,2012,13985
13021,2012,112700
13023,2012,9960
13025,2012,13560
13027,2012,11785
13029,2012,21450
13031,2012,54270
13033,2012,16465
13035,2012,17995
13037,2012,5045
13039,2012,36510
13043,2012,7660
13045,2012,79595
13047,2012,47685
13049,2012,9400
13051,2012,196245
13053,2012,8545
13055,2012,19430
13057,2012,144960
13059,2012,88665
13061,2012,2355
13063,2012,165075
13065,2012,4865
13067,2012,457080
13069,2012,29690
13071,2012,29340
13073,2012,87230
13075,2012,11960
13077,2012,88365
13079,2012,9765
13081,2012,17065
13083,2012,12935
13085,2012,16730
13087,2012,20185
13089,2012,461950
13091,2012,16240
13093,2012,11000
13095,2012,69220
13097,2012,88770
13099,2012,8040
13101,2012,2350
13103,2012,36990
13105,2012,15195
13107,2012,16695
13109,2012,7340
13111,2012,18970
13113,2012,75115
13115,2012,68600
13117,2012,111185
13119,2012,16720
13121,2012,638935
13123,2012,20890
13125,2012,2255
13127,2012,58245
13129,2012,36290
13131,2012,17255
13133,2012,12385
13135,2012,464285
13137,2012,30645
13139,2012,110080
13141,2012,7555
13143,2012,21275
13145,2012,24230
13147,2012,19465
13149,2012,8765
13151,2012,138770
13153,2012,99165
13155,2012,7290
13157,2012,42850
13159,2012,10025
13161,2012,10520
13163,2012,12530
13165,2012,5900
13167,2012,7845
13169,2012,21010
13171,2012,14145
13173,2012,7115
13175,2012,35440
13177,2012,20155
13179,2012,44045
13181,2012,6275
13183,2012,9590
13185,2012,80605
13187,2012,23150
13189,2012,15880
13191,2012,11105
13193,2012,10875
13195,2012,20640
13197,2012,6235
13199,2012,16760
13201,2012,4600
13205,2012,17345
13207,2012,20280
13209,2012,6720
13211,2012,13320
13213,2012,27190
13215,2012,138295
13217,2012,68845
13219,2012,22915
13221,2012,11035
13223,2012,96915
13225,2012,20215
13227,2012,22490
13229,2012,13390
13231,2012,12935
13233,2012,28290
13235,2012,9540
13237,2012,16175
13239,2012,1910
13241,2012,12180
13243,2012,5810
13245,2012,147820
13247,2012,57845
13249,2012,3380
13251,2012,10865
13253,2012,6670
13255,2012,46635
13257,2012,19590
13259,2012,4500
13261,2012,23465
13263,2012,5325
13265,2012,1385
13267,2012,18290
13269,2012,6505
13271,2012,11725
13273,2012,7005
13275,2012,32910
13277,2012,28490
13279,2012,18715
13281,2012,8745
13283,2012,4880
13285,2012,47725
13287,2012,6435
13289,2012,7060
13291,2012,17290
13293,2012,20405
13295,2012,51875
13297,2012,59770
13299,2012,26900
13301,2012,4420
13303,2012,15965
13305,2012,22090
13307,2012,2220
13309,2012,6465
13311,2012,20955
13313,2012,59785
13315,2012,7205
13317,2012,8030
13319,2012,7100
13321,2012,16190
15001,2012,132605
15003,2012,673200
15005,2012,60
15007,2012,48210
15009,2012,108720
16001,2012,279745
16003,2012,3220
16005,2012,59015
16007,2012,4330
16009,2012,6985
16011,2012,28300
16013,2012,13995
16015,2012,5430
16017,2012,31510
16019,2012,68455
16021,2012,7970
16023,2012,2045
16025,2012,885
16027,2012,119960
16029,2012,4795
16031,2012,13860
16033,2012,355
16035,2012,7120
16037,2012,3400
16039,2012,17870
16041,2012,8125
16043,2012,8470
16045,2012,12210
16047,2012,9050
16049,2012,12735
16051,2012,16225
16053,2012,12900
16055,2012,103665
16057,2012,29460
16059,2012,6350
16061,2012,2960
16063,2012,3090
16065,2012,26515
16067,2012,12510
16069,2012,30390
16071,2012,3020
16073,2012,7180
16075,2012,15440
16077,2012,4575
16079,2012,10045
16081,2012,6275
16083,2012,51870
16085,2012,7840
16087,2012,7125
17001,2012,51310
17003,2012,6220
17005,2012,13595
17007,2012,35330
17009,2012,5650
17011,2012,26075
17013,2012,3915
17015,2012,12020
17017,2012,9115
17019,2012,147135
17021,2012,26835
17023,2012,12480
17025,2012,10530
17027,2012,29090
17029,2012,43410
17031,2012,3415415
17033,2012,15535
17035,2012,8395
17037,2012,77255
17039,2012,12820
17041,2012,14295
17043,2012,621990
17045,2012,14315
17047,2012,5140
17049,2012,25715
17051,2012,16685
17053,2012,10650
17055,2012,30340
17057,2012,28755
17059,2012,4425
17061,2012,10630
17063,2012,35435
17065,2012,6485
17067,2012,14880
17069,2012,3440
17071,2012,5770
17073,2012,37765
17075,2012,22175
17077,2012,47220
17079,2012,7460
17081,2012,29950
17083,2012,17625
17085,2012,17645
17087,2012,10110
17089,2012,310585
17091,2012,81675
17093,2012,74615
17095,2012,41175
17097,2012,447225
17099,2012,85430
17101,2012,15255
17103,2012,27615
17105,2012,29885
17107,2012,24090
17109,2012,26750
17111,2012,210830
17113,2012,125525
17115,2012,84290
17117,2012,36700
17119,2012,205000
17121,2012,29935
17123,2012,9715
17125,2012,11385
17127,2012,11840
17129,2012,9735
17131,2012,12660
17133,2012,24845
17135,2012,23560
17137,2012,27750
17139,2012,11090
17141,2012,38895
17143,2012,137000
17145,2012,17535
17147,2012,12660
17149,2012,12500
17151,2012,3575
17153,2012,4565
17155,2012,4590
17157,2012,26390
17159,2012,12465
17161,2012,108150
17163,2012,197920
17165,2012,19165
17167,2012,148080
17169,2012,5780
17171,2012,4020
17173,2012,17300
17175,2012,4590
17177,2012,36320
17179,2012,102830
17181,2012,13730
17183,2012,60870
17185,2012,9200
17187,2012,13335
17189,2012,11410
17191,2012,12925
17193,2012,11525
17195,2012,43905
17197,2012,445760
17199,2012,51000
17201,2012,209920
17203,2012,28525
18001,2012,23650
18003,2012,249710
18005,2012,54160
18007,2012,6480
18009,2012,9815
18011,2012,40275
18013,2012,12015
18015,2012,14825
18017,2012,26805
18019,2012,81595
18021,2012,20330
18023,2012,22670
18025,2012,8160
18027,2012,22080
18029,2012,37235
18031,2012,18975
18033,2012,30760
18035,2012,92780
18037,2012,30290
18039,2012,131390
18041,2012,18360
18043,2012,55720
18045,2012,12960
18047,2012,17015
18049,2012,15240
18051,2012,25120
18053,2012,54280
18055,2012,25200
18057,2012,185520
18059,2012,51350
18061,2012,29760
18063,2012,103565
18065,2012,38450
18067,2012,62775
18069,2012,28200
18071,2012,30470
18073,2012,24355
18075,2012,15505
18077,2012,24695
18079,2012,20680
18081,2012,100990
18083,2012,29715
18085,2012,55680
18087,2012,24060
18089,2012,354095
18091,2012,84370
18093,2012,35135
18095,2012,99570
18097,2012,629000
18099,2012,33040
18101,2012,7800
18103,2012,28295
18105,2012,107965
18107,2012,28310
18109,2012,51400
18111,2012,10775
18113,2012,33030
18115,2012,4810
18117,2012,14890
18119,2012,16490
18121,2012,13460
18123,2012,15260
18125,2012,9950
18127,2012,122530
18129,2012,19620
18131,2012,10095
18133,2012,29610
18135,2012,19575
18137,2012,20985
18139,2012,13025
18141,2012,193240
18143,2012,18095
18145,2012,32775
18147,2012,15795
18149,2012,17610
18151,2012,25950
18153,2012,16765
18155,2012,7765
18157,2012,124530
18159,2012,12225
18161,2012,5655
18163,2012,137730
18165,2012,12435
18167,2012,83195
18169,2012,25050
18171,2012,6500
18173,2012,43750
18175,2012,21005
18177,2012,52205
18179,2012,20725
18181,2012,18050
18183,2012,24990
19001,2012,5900
19003,2012,3190
19005,2012,10560
19007,2012,9925
19009,2012,4750
19011,2012,19275
19013,2012,99710
19015,2012,19995
19017,2012,18710
19019,2012,15285
19021,2012,13230
19023,2012,11335
19025,2012,7930
19027,2012,15540
19029,2012,10620
19031,2012,13875
19033,2012,34110
19035,2012,9405
19037,2012,9350
19039,2012,6765
19041,2012,12640
19043,2012,13745
19045,2012,37230
19047,2012,10975
19049,2012,45640
19051,2012,6165
19053,2012,6390
19055,2012,13205
19057,2012,30685
19059,2012,13555
19061,2012,70775
19063,2012,7545
19065,2012,16075
19067,2012,12235
19069,2012,7720
19071,2012,5680
19073,2012,7080
19075,2012,9440
19077,2012,8270
19079,2012,11600
19081,2012,8580
19083,2012,13150
19085,2012,11225
19087,2012,15100
19089,2012,7100
19091,2012,7380
19093,2012,5420
19095,2012,12315
19097,2012,15180
19099,2012,28340
19101,2012,12135
19103,2012,98500
19105,2012,16030
19107,2012,7990
19109,2012,11980
19111,2012,27510
19113,2012,157165
19115,2012,7985
19117,2012,6475
19119,2012,8335
19121,2012,11350
19123,2012,16740
19125,2012,24785
19127,2012,27075
19129,2012,11150
19131,2012,8145
19133,2012,7135
19135,2012,5960
19137,2012,8135
19139,2012,30085
19141,2012,10795
19143,2012,4740
19145,2012,12300
19147,2012,7240
19149,2012,18290
19151,2012,5680
19153,2012,303810
19155,2012,68875
19157,2012,14675
19159,2012,3825
19161,2012,7930
19163,2012,122160
19165,2012,9260
19167,2012,23385
19169,2012,68950
19171,2012,12870
19173,2012,4675
19175,2012,9490
19177,2012,5805
19179,2012,26165
19181,2012,34185
19183,2012,16015
19185,2012,4865
19187,2012,28995
19189,2012,8325
19191,2012,16530
19193,2012,69865
19195,2012,5805
19197,2012,9615
20001,2012,10160
20003,2012,5985
20005,2012,12720
20007,2012,3800
20009,2012,19525
20011,2012,11215
20013,2012,7375
20015,2012,47575
20017,2012,2095
20019,2012,2885
20021,2012,16095
20023,2012,2100
20025,2012,1565
20027,2012,6445
20029,2012,7385
20031,2012,6490
20033,2012,1390
20035,2012,26545
20037,2012,29515
20039,2012,2375
20041,2012,14785
20043,2012,6165
20045,2012,85540
20047,2012,2110
20049,2012,2250
20051,2012,22085
20053,2012,5215
20055,2012,20390
20057,2012,17540
20059,2012,19095
20061,2012,22470
20063,2012,2130
20065,2012,2100
20067,2012,4610
20069,2012,3805
20071,2012,925
20073,2012,5130
20075,2012,1655
20077,2012,4485
20079,2012,24815
20081,2012,2535
20083,2012,1395
20085,2012,9750
20087,2012,14305
20089,2012,2495
20091,2012,380230
20093,2012,2470
20095,2012,5955
20097,2012,1930
20099,2012,16155
20101,2012,1270
20103,2012,56040
20105,2012,2440
20107,2012,7285
20109,2012,2065
20111,2012,23880
20113,2012,22045
20115,2012,9680
20117,2012,7710
20119,2012,3065
20121,2012,23690
20123,2012,5000
20125,2012,26265
20127,2012,4560
20129,2012,2150
20131,2012,7530
20133,2012,12290
20135,2012,2415
20137,2012,4460
20139,2012,12170
20141,2012,3040
20143,2012,4550
20145,2012,5360
20147,2012,4200
20149,2012,15065
20151,2012,7290
20153,2012,2045
20155,2012,48380
20157,2012,3990
20159,2012,7465
20161,2012,55640
20163,2012,4035
20165,2012,2640
20167,2012,5515
20169,2012,40110
20171,2012,3215
20173,2012,341210
20175,2012,10775
20177,2012,129345
20179,2012,1950
20181,2012,4565
20183,2012,3095
20185,2012,3200
20187,2012,1215
20189,2012,3190
20191,2012,17735
20193,2012,5910
20195,2012,2300
20197,2012,5240
20199,2012,1085
20201,2012,4420
20203,2012,1420
20205,2012,7075
20207,2012,2635
20209,2012,97285
21001,2012,14330
21003,2012,14990
21005,2012,15990
21007,2012,6455
21009,2012,31790
21011,2012,8705
21013,2012,22280
21015,2012,83160
21017,2012,14490
21019,2012,38565
21021,2012,21890
21023,2012,6240
21025,2012,10750
21027,2012,15095
21029,2012,55625
